species,id,head_length,body_lentgth,tail_length,weight,altitude,bio1_37,bio2_37,bio3_37,bio4_37,bio5_37,bio6_37,bio7_37,bio8_37,bio9_37,bio10_37,bio11_37,bio12_37,bio13_37,bio14_37,bio15_37,bio16_37,bio17_37,bio18_37,bio19_37,id_seq
E. carletoni,C62_2012,42.6,98,156,105,331,244,97,72,1289,304,171,133,255,232,255,225,1418,335,16,98,876,67,866,69,PL1_Pool3_20_C62_2012
E. carletoni,C7_2012,48.03,98,166,140,215,250,95,72,1264,310,179,131,262,239,262,232,1410,335,17,98,871,70,871,71,PL1_PoolX_C7_2012
E. carletoni,C73_2012,43.72,79,130,105,417,234,99,73,1321,295,160,135,246,222,246,214,1408,324,16,97,859,67,848,76,PL1_Pool1_C73_A_25
E. carletoni,D08_2011,40.72,88,153,72,150,253,92,72,1347,310,183,127,266,240,266,233,1416,272,31,74,751,121,751,125,PL1_PoolX_D08_2011
E. carletoni,D09_2011,45.38,108,174,123,159,249,93,72,1387,307,178,129,262,236,262,229,1410,269,30,75,750,120,750,123,PL1_PoolX_D09_2011
E. carletoni,D16_2012,46.74,100,160,100,271,250,105,70,1256,318,169,149,259,232,261,231,1621,387,14,103,1028,51,750,57,PL1_Pool2_D16_E_10
E. carletoni,D21_2011,43.34,86,66,85,150,253,92,72,1347,310,183,127,266,240,266,233,1416,272,31,74,751,121,751,125,PL1_PoolX_D21_2011
E. carletoni,D23_2011,44.48,100,184,88,150,253,92,72,1347,310,183,127,266,240,266,233,1416,272,31,74,751,121,751,125,PL1_Pool3_12_D23_2011
E. carletoni,D28_2011,43.54,104,170,80,159,249,93,72,1387,307,178,129,262,236,262,229,1410,269,30,75,750,120,750,123,PL1_Pool1_33_D28_2011
E. carletoni,D30_2011,40.96,94,165,75,183,252,92,72,1355,310,183,127,265,239,265,233,1417,272,31,74,750,122,750,125,PL1_Pool3_10_D30_2011
