Gen	np	tree	tau_4EminEmyoxEsp	lnL
53200	2	11	0.001138	0.000618	-2521662.187
53300	2	11	0.001176	0.000616	-2521530.641
53400	2	11	0.001168	0.000604	-2521355.551
53500	2	11	0.001139	0.000630	-2521642.693
53600	2	11	0.001166	0.000620	-2521539.228
53700	2	11	0.001160	0.000616	-2521419.871
53800	2	11	0.001126	0.000607	-2521382.105
53900	2	11	0.001156	0.000600	-2521516.669
54000	2	11	0.001143	0.000599	-2521512.424
54100	2	11	0.001107	0.000615	-2521354.797
54200	2	11	0.001113	0.000620	-2521589.777
54300	2	11	0.001091	0.000608	-2521406.590
54400	2	11	0.001118	0.000635	-2521501.314
54500	2	11	0.001128	0.000614	-2521483.039
54600	2	11	0.001146	0.000617	-2521296.533
54700	2	11	0.001148	0.000594	-2521294.121
54800	2	11	0.001125	0.000625	-2521524.309
54900	2	11	0.001109	0.000620	-2521569.507
55000	2	11	0.001127	0.000653	-2521505.942
55100	2	11	0.001149	0.000603	-2521547.498
55200	2	11	0.001137	0.000563	-2521187.708
55300	2	11	0.001136	0.000593	-2521386.192
55400	2	11	0.001153	0.000612	-2521618.045
55500	2	11	0.001180	0.000632	-2521424.422
55600	2	11	0.001139	0.000609	-2521411.660
55700	2	11	0.001120	0.000624	-2521542.201
55800	2	11	0.001139	0.000613	-2521535.267
55900	2	11	0.001177	0.000630	-2521570.427
56000	2	11	0.001147	0.000608	-2521493.447
56100	2	11	0.001145	0.000631	-2521529.704
56200	2	11	0.001124	0.000613	-2521491.016
56300	2	11	0.001122	0.000616	-2521454.603
56400	2	11	0.001109	0.000618	-2521266.525
56500	2	11	0.001126	0.000632	-2521559.539
56600	2	11	0.001124	0.000634	-2521305.226
56700	2	11	0.001110	0.000616	-2521421.346
56800	2	11	0.001140	0.000606	-2521369.918
56900	2	11	0.001109	0.000638	-2521421.128
57000	2	11	0.001174	0.000608	-2521559.098
57100	2	11	0.001123	0.000627	-2521406.356
57200	2	11	0.001125	0.000606	-2521383.670
57300	2	11	0.001118	0.000619	-2521347.625
57400	2	11	0.001134	0.000621	-2521420.571
