id_seq,id,latitude,longitude,species,site
PL1_Pool2_F23_D_4,F23_2015,-13.64766,49.55581,E. minor,AMBA
PL1_Pool2_F24_D_19,F24_2015,-13.64694,49.55599,E. minor,AMBA
PL1_PoolX_F13_2015,F13_2015,-13.65457,49.5571,E. minor,AMBA
PL1_Pool1_B72_A_52,B72_2014,-13.91378,49.41881,E. minor,AMBALA
PL1_Pool2_B78_B_6,B78_2014,-13.91646,49.40948,E. minor,AMBALA
PL1_Pool2_B92_E_27,B92_2014,-13.92058,49.4065,E. minor,AMBALA
PL1_PoolX_B91_2014,B91_2014,-13.91767,49.40149,E. minor,AMBALA
PL1_Pool2_10_BK159_2018,BK159_2018,-14.15359,49.24164,E. minor,ANDOHA
PL1_Pool3_14_BK155_2018,BK155_2018,-14.15089,49.23956,E. minor,ANDOHA
PL1_Pool3_48_BK166_2018,BK166_2018,-14.14167,49.24549,E. minor,ANDOHA
PL1_Pool3_6_BK143_2018,BK143_2018,-14.16067,49.23928,E. minor,ANDOHA
PL1_Pool1_A36_D_17,A36_2014,-13.77065,49.53997,E. minor,ANDR
PL1_Pool1_E30_A_22,E30_2014,-13.763,49.6118,E. minor,ANDR
PL1_Pool1_30_E32_2014,E32_2014,-13.74079,49.58126,E. minor,ANDR
PL1_Pool2_41_E17_2014,E17_2014,-13.75705,49.58968,E. minor,ANDR
PL1_Pool3_12_E25_2014,E25_2014,-13.74029,49.58227,E. minor,ANDR
PL1_PoolX_A34_2014,A34_2014,-13.75424,49.53603,E. minor,ANDR
PL1_PoolX_A46_2014,A46_2014,-13.79328,49.51964,E. minor,ANDR
PL1_PoolX_E24_2014,E24_2014,-13.73758,49.58876,E. minor,ANDR
PL1_Pool1_F42_D_6,F42_2015,-13.56262,49.53631,E. minor,ANTSA
PL1_Pool1_F54_C_24,F54_2015,-13.5576,49.53974,E. minor,ANTSA
PL1_Pool1_F55_C_21,F55_2015,-13.55695,49.53948,E. minor,ANTSA
PL1_Pool2_F37_D_20,F37_2015,-13.55122,49.53839,E. minor,ANTSA
PL1_Pool2_F43_D_7,F43_2015,-13.56317,49.5372,E. minor,ANTSA
PL1_Pool2_9_BK78_2018,BK78_2018,-14.22791,49.64715,E. minor,BEAMA
PL1_Pool3_35_BK111_2018,BK111_2018,-14.18806,49.39257,E. minor,LOHANA
PL1_Pool1_A53_D_10,A53_2014,-13.75995,49.40638,E. minor,MAL
PL1_Pool1_A80_E_1,A80_2014,-13.75381,49.41059,E. minor,MAL
PL1_Pool1_A90_D_24,A90_2014,-13.75245,49.40905,E. minor,MAL
PL1_Pool3_36_A69_2014,A69_2014,-13.75956,49.41195,E. minor,MAL
PL1_Pool1_27_BD29_2017,BD29_2017,-12.5082,49.18153,Eliurus sp. nova,M_AMBRE_NORTH
PL1_Pool3_32_BC51_2017,BC51_2017,-12.51994,49.18104,Eliurus sp. nova,M_AMBRE_NORTH
PL1_Pool1_36_BE35_2017,BE35_2017,-12.67702,49.17084,Eliurus sp. nova,M_AMBRE_SOUTH
PL1_Pool2_11_BG72_2017,BG72_2017,-12.69357,49.14442,Eliurus sp. nova,M_AMBRE_SOUTH
PL1_Pool2_46_BD68_2017,BD68_2017,-12.65919,49.17768,Eliurus sp. nova,M_AMBRE_SOUTH
PL1_Pool3_34_BG77_2017,BG77_2017,-12.70927,49.13926,Eliurus sp. nova,M_AMBRE_SOUTH
PL1_Pool3_45_BH10_2017,BH10_2017,-12.70601,49.13793,Eliurus sp. nova,M_AMBRE_SOUTH
PL1_Pool3_8_BG61_2017,BG61_2017,-12.70442,49.14583,Eliurus sp. nova,M_AMBRE_SOUTH
PL1_Pool3_28_BJ52_2017,BJ52_2017,-12.76553,49.02506,E. carletoni,ANALA
PL1_Pool1_16_F199_18,F199_18,-16.28800803,46.71106503,E. myoxinus,FANTSIKA
PL1_Pool1_24_M123_18,M123_18,-16.29647098,46.68970602,E. myoxinus,FANTSIKA
PL1_Pool1_6_F128_18,F128_18,-16.28704302,46.71128296,E. myoxinus,FANTSIKA
PL1_Pool3_14_F24_04,F24_4,-16.1852,46.55051,E. myoxinus,FANTSIKA
PL1_Pool3_16_M136_17,M136_17,-16.30414998,46.709966,E. myoxinus,FANTSIKA
PL1_Pool3_22_F179_17,F179_17,-16.32319702,46.68997197,E. myoxinus,FANTSIKA
PL1_Pool3_25_F167_17,F167_17,-16.30334096,46.72346799,E. myoxinus,FANTSIKA
PL1_Pool3_27_M197_17,M197_17,-16.31672502,46.71819602,E. myoxinus,FANTSIKA
PL1_Pool3_28_F4_17,F4_17,-16.32180898,46.71472097,E. myoxinus,FANTSIKA
PL1_Pool3_29_F12_04,F12_4,-16.1137,46.54096,E. myoxinus,FANTSIKA
PL1_Pool3_30_M5_17,M5_17,-16.32175902,46.71464997,E. myoxinus,FANTSIKA
PL1_Pool3_31_F183_17,F183_17,-16.32212598,46.715173,E. myoxinus,FANTSIKA
PL1_Pool3_32_M158_17,M158_17,-16.327867,46.69875302,E. myoxinus,FANTSIKA
PL1_Pool3_33_F114_17,F114_17,-16.30932597,46.69479802,E. myoxinus,FANTSIKA
PL1_Pool3_34_F132_17,F132_17,-16.30336904,46.72354301,E. myoxinus,FANTSIKA
PL1_Pool3_35_M20_04,M20_4,-16.1141,46.54055,E. myoxinus,FANTSIKA
PL1_Pool3_36_M144_17,M144_17,-16.30279999,46.72245403,E. myoxinus,FANTSIKA
PL1_Pool3_37_F189_17,F189_17,-16.32585299,46.70323499,E. myoxinus,FANTSIKA
PL1_Pool3_38_F14_04,F14_4,-16.11379,46.54211,E. myoxinus,FANTSIKA
PL1_Pool3_39_F36_04,F36_4,-16.1926,46.55153,E. myoxinus,FANTSIKA
